Date,State,Type,Cases
3/18/20,Victoria,Deaths,
3/18/20,Victoria,Serious,
3/18/20,Victoria,Critical,
3/18/20,Victoria,Recovered,
3/19/2020,Victoria,Confirmed,150
3/19/2020,Victoria,Deaths,
3/19/2020,Victoria,Serious,
3/19/2020,Victoria,Critical,
3/19/2020,Victoria,Recovered,
3/20/2020,Victoria,Confirmed,178
3/20/2020,Victoria,Deaths,
3/20/2020,Victoria,Serious,
3/20/2020,Victoria,Critical,
3/20/2020,Victoria,Recovered,7
3/21/2020,Victoria,Confirmed,296
3/21/2020,Victoria,Deaths,
3/21/2020,Victoria,Serious,
3/21/2020,Victoria,Critical,
3/21/2020,Victoria,Recovered,51
3/22/2020,Victoria,Confirmed,296
3/22/2020,Victoria,Deaths,
3/22/2020,Victoria,Serious,
3/22/2020,Victoria,Critical,
3/22/2020,Victoria,Recovered,51
3/17/20,Western Australia,Confirmed,31
3/17/20,Western Australia,Deaths,1
3/17/20,Western Australia,Serious,
3/17/20,Western Australia,Critical,
3/17/20,Western Australia,Recovered,1
3/18/20,Western Australia,Confirmed,35
3/18/20,Western Australia,Deaths,1
3/18/20,Western Australia,Serious,
3/18/20,Western Australia,Critical,
3/18/20,Western Australia,Recovered,1
3/19/2020,Western Australia,Confirmed,52
3/19/2020,Western Australia,Deaths,1
3/19/2020,Western Australia,Serious,
3/19/2020,Western Australia,Critical,
3/19/2020,Western Australia,Recovered,1
3/20/2020,Western Australia,Confirmed,64
3/20/2020,Western Australia,Deaths,1
3/20/2020,Western Australia,Serious,
3/20/2020,Western Australia,Critical,
3/20/2020,Western Australia,Recovered,1
3/21/2020,Western Australia,Confirmed,90
3/21/2020,Western Australia,Deaths,1
3/21/2020,Western Australia,Serious,
3/21/2020,Western Australia,Critical,
3/21/2020,Western Australia,Recovered,1
3/22/2020,Western Australia,Confirmed,120
3/22/2020,Western Australia,Deaths,1
3/22/2020,Western Australia,Serious,
3/22/2020,Western Australia,Critical,
3/22/2020,Western Australia,Recovered,1
