Date,State,Type,Cases
3/22/2020,Maine,Deaths,0
3/22/2020,Maine,Recovered,0
3/17/2020,Maryland,Confirmed,57
3/17/2020,Maryland,Deaths,0
3/17/2020,Maryland,Recovered,3
3/18/2020,Maryland,Confirmed,85
3/18/2020,Maryland,Deaths,0
3/18/2020,Maryland,Recovered,4
3/19/2020,Maryland,Confirmed,107
3/19/2020,Maryland,Deaths,1
3/19/2020,Maryland,Recovered,4
3/20/2020,Maryland,Confirmed,149
3/20/2020,Maryland,Deaths,2
3/20/2020,Maryland,Recovered,4
3/21/2020,Maryland,Confirmed,190
3/21/2020,Maryland,Deaths,2
3/21/2020,Maryland,Recovered,4
3/22/2020,Maryland,Confirmed,190
3/22/2020,Maryland,Deaths,3
3/22/2020,Maryland,Recovered,4
3/17/2020,Massachusetts,Confirmed,197
3/17/2020,Massachusetts,Deaths,0
3/17/2020,Massachusetts,Recovered,1
3/18/2020,Massachusetts,Confirmed,218
3/18/2020,Massachusetts,Deaths,0
3/18/2020,Massachusetts,Recovered,1
3/19/2020,Massachusetts,Confirmed,328
3/19/2020,Massachusetts,Deaths,0
3/19/2020,Massachusetts,Recovered,1
3/20/2020,Massachusetts,Confirmed,413
3/20/2020,Massachusetts,Deaths,1
3/20/2020,Massachusetts,Recovered,1
3/21/2020,Massachusetts,Confirmed,525
3/21/2020,Massachusetts,Deaths,1
3/21/2020,Massachusetts,Recovered,
3/22/2020,Massachusetts,Confirmed,525
3/22/2020,Massachusetts,Deaths,1
3/22/2020,Massachusetts,Recovered,
3/17/2020,Michigan,Confirmed,65
3/17/2020,Michigan,Deaths,0
3/17/2020,Michigan,Recovered,0
3/18/2020,Michigan,Confirmed,111
3/18/2020,Michigan,Deaths,1
3/18/2020,Michigan,Recovered,0
3/19/2020,Michigan,Confirmed,334
3/19/2020,Michigan,Deaths,3
3/19/2020,Michigan,Recovered,0
3/20/2020,Michigan,Confirmed,552
3/20/2020,Michigan,Deaths,3
3/20/2020,Michigan,Recovered,0
3/21/2020,Michigan,Confirmed,787
3/21/2020,Michigan,Deaths,5
3/21/2020,Michigan,Recovered,
3/22/2020,Michigan,Confirmed,787
3/22/2020,Michigan,Deaths,5
3/22/2020,Michigan,Recovered,
3/17/2020,Minnesota,Confirmed,60
3/17/2020,Minnesota,Deaths,0
3/17/2020,Minnesota,Recovered,0
3/18/2020,Minnesota,Confirmed,77
3/18/2020,Minnesota,Deaths,0
3/18/2020,Minnesota,Recovered,0
3/19/2020,Minnesota,Confirmed,91
3/19/2020,Minnesota,Deaths,0
3/19/2020,Minnesota,Recovered,0
3/20/2020,Minnesota,Confirmed,115
3/20/2020,Minnesota,Deaths,0
3/20/2020,Minnesota,Recovered,0
3/21/2020,Minnesota,Confirmed,137
3/21/2020,Minnesota,Deaths,1
3/21/2020,Minnesota,Recovered,24
3/22/2020,Minnesota,Confirmed,137
3/22/2020,Minnesota,Deaths,1
3/22/2020,Minnesota,Recovered,24
3/17/2020,Mississippi,Confirmed,21
3/17/2020,Mississippi,Deaths,0
3/17/2020,Mississippi,Recovered,0
3/18/2020,Mississippi,Confirmed,36
3/18/2020,Mississippi,Deaths,0
3/18/2020,Mississippi,Recovered,0
3/19/2020,Mississippi,Confirmed,50
3/19/2020,Mississippi,Deaths,1
3/19/2020,Mississippi,Recovered,0
3/20/2020,Mississippi,Confirmed,80
3/20/2020,Mississippi,Deaths,1
3/20/2020,Mississippi,Recovered,0
3/21/2020,Mississippi,Confirmed,80
3/21/2020,Mississippi,Deaths,1
3/21/2020,Mississippi,Recovered,0
3/22/2020,Mississippi,Confirmed,80
3/22/2020,Mississippi,Deaths,1
3/22/2020,Mississippi,Recovered,0
3/17/2020,Missouri,Confirmed,15
3/17/2020,Missouri,Deaths,0
3/17/2020,Missouri,Recovered,0
3/18/2020,Missouri,Confirmed,18
3/18/2020,Missouri,Deaths,0
3/18/2020,Missouri,Recovered,0
3/19/2020,Missouri,Confirmed,39
3/19/2020,Missouri,Deaths,1
3/19/2020,Missouri,Recovered,0
3/20/2020,Missouri,Confirmed,66
3/20/2020,Missouri,Deaths,3
3/20/2020,Missouri,Recovered,0
3/21/2020,Missouri,Confirmed,66
3/21/2020,Missouri,Deaths,3
3/21/2020,Missouri,Recovered,0
3/22/2020,Missouri,Confirmed,66
3/22/2020,Missouri,Deaths,3
3/22/2020,Missouri,Recovered,0
3/17/2020,Montana,Confirmed,4
3/17/2020,Montana,Deaths,0
3/17/2020,Montana,Recovered,0
3/18/2020,Montana,Confirmed,11
3/18/2020,Montana,Deaths,0
3/18/2020,Montana,Recovered,0
3/19/2020,Montana,Confirmed,12
3/19/2020,Montana,Deaths,0
3/19/2020,Montana,Recovered,0
3/20/2020,Montana,Confirmed,20
3/20/2020,Montana,Deaths,0
3/20/2020,Montana,Recovered,0
3/21/2020,Montana,Confirmed,20
3/21/2020,Montana,Deaths,0
3/21/2020,Montana,Recovered,0
3/22/2020,Montana,Confirmed,20
3/22/2020,Montana,Deaths,0
3/22/2020,Montana,Recovered,0
3/17/2020,N. Mariana Islands,Confirmed,0
3/17/2020,N. Mariana Islands,Deaths,0
3/17/2020,N. Mariana Islands,Recovered,0
