Date,Province,Type,Cases
3/19/2020,Prince Edward Island,Recovered,
3/20/2020,Prince Edward Island,Confirmed,2
3/20/2020,Prince Edward Island,Deaths,0
3/20/2020,Prince Edward Island,Serious,
3/20/2020,Prince Edward Island,Critical,
3/20/2020,Prince Edward Island,Recovered,
3/21/2020,Prince Edward Island,Confirmed,2
3/21/2020,Prince Edward Island,Deaths,0
3/21/2020,Prince Edward Island,Serious,
3/21/2020,Prince Edward Island,Critical,
3/21/2020,Prince Edward Island,Recovered,
3/22/2020,Prince Edward Island,Confirmed,3
3/22/2020,Prince Edward Island,Deaths,0
3/22/2020,Prince Edward Island,Serious,
3/22/2020,Prince Edward Island,Critical,
3/22/2020,Prince Edward Island,Recovered,
3/17/20,Quebec,Confirmed,74
3/17/20,Quebec,Deaths,0
3/17/20,Quebec,Serious,
3/17/20,Quebec,Critical,
3/17/20,Quebec,Recovered,
3/18/20,Quebec,Confirmed,94
3/18/20,Quebec,Deaths,1
3/18/20,Quebec,Serious,
3/18/20,Quebec,Critical,
3/18/20,Quebec,Recovered,1
3/19/2020,Quebec,Confirmed,121
3/19/2020,Quebec,Deaths,1
3/19/2020,Quebec,Serious,
3/19/2020,Quebec,Critical,
3/19/2020,Quebec,Recovered,1
3/20/2020,Quebec,Confirmed,139
3/20/2020,Quebec,Deaths,1
3/20/2020,Quebec,Serious,
3/20/2020,Quebec,Critical,
3/20/2020,Quebec,Recovered,1
3/21/2020,Quebec,Confirmed,181
3/21/2020,Quebec,Deaths,5
3/21/2020,Quebec,Serious,
3/21/2020,Quebec,Critical,
3/21/2020,Quebec,Recovered,1
3/22/2020,Quebec,Confirmed,219
3/22/2020,Quebec,Deaths,5
3/22/2020,Quebec,Serious,
3/22/2020,Quebec,Critical,
3/22/2020,Quebec,Recovered,1
3/17/20,Saskatchewan,Confirmed,8
3/17/20,Saskatchewan,Deaths,0
3/17/20,Saskatchewan,Serious,
3/17/20,Saskatchewan,Critical,
3/17/20,Saskatchewan,Recovered,
3/18/20,Saskatchewan,Confirmed,16
3/18/20,Saskatchewan,Deaths,0
3/18/20,Saskatchewan,Serious,
3/18/20,Saskatchewan,Critical,
3/18/20,Saskatchewan,Recovered,
3/19/2020,Saskatchewan,Confirmed,20
3/19/2020,Saskatchewan,Deaths,0
3/19/2020,Saskatchewan,Serious,
3/19/2020,Saskatchewan,Critical,
3/19/2020,Saskatchewan,Recovered,
3/20/2020,Saskatchewan,Confirmed,26
3/20/2020,Saskatchewan,Deaths,0
3/20/2020,Saskatchewan,Serious,
3/20/2020,Saskatchewan,Critical,
3/20/2020,Saskatchewan,Recovered,
3/21/2020,Saskatchewan,Confirmed,44
3/21/2020,Saskatchewan,Deaths,0
3/21/2020,Saskatchewan,Serious,
3/21/2020,Saskatchewan,Critical,
3/21/2020,Saskatchewan,Recovered,
3/22/2020,Saskatchewan,Confirmed,52
3/22/2020,Saskatchewan,Deaths,0
3/22/2020,Saskatchewan,Serious,
3/22/2020,Saskatchewan,Critical,
3/22/2020,Saskatchewan,Recovered,
3/17/20,Yukon,Confirmed,0
3/17/20,Yukon,Deaths,0
3/17/20,Yukon,Serious,
3/17/20,Yukon,Critical,
3/17/20,Yukon,Recovered,
3/18/20,Yukon,Confirmed,0
3/18/20,Yukon,Deaths,0
3/18/20,Yukon,Serious,
3/18/20,Yukon,Critical,
3/18/20,Yukon,Recovered,
3/19/2020,Yukon,Confirmed,0
3/19/2020,Yukon,Deaths,0
3/19/2020,Yukon,Serious,
3/19/2020,Yukon,Critical,
3/19/2020,Yukon,Recovered,
3/20/2020,Yukon,Confirmed,0
3/20/2020,Yukon,Deaths,0
3/20/2020,Yukon,Serious,
3/20/2020,Yukon,Critical,
3/20/2020,Yukon,Recovered,
3/21/2020,Yukon,Confirmed,0
3/21/2020,Yukon,Deaths,0
3/21/2020,Yukon,Serious,
3/21/2020,Yukon,Critical,
3/21/2020,Yukon,Recovered,
3/22/2020,Yukon,Confirmed,2
3/22/2020,Yukon,Deaths,0
3/22/2020,Yukon,Serious,
3/22/2020,Yukon,Critical,
3/22/2020,Yukon,Recovered,
