Date,Country,Type,Cases
3/20/2020,Algeria,Confirmed,82
3/20/2020,Algeria,Deaths,8
3/20/2020,Algeria,Critical,0
3/20/2020,Algeria,Recovered,10
3/21/2020,Algeria,Confirmed,102
3/21/2020,Algeria,Deaths,9
3/21/2020,Algeria,Critical,N/A
3/21/2020,Algeria,Recovered,10
3/22/2020,Algeria,Confirmed,102
3/22/2020,Algeria,Deaths,9
3/22/2020,Algeria,Critical,N/A
3/22/2020,Algeria,Recovered,10
3/17/2020,Andorra,Confirmed,14
3/17/2020,Andorra,Deaths,0
3/17/2020,Andorra,Critical,
3/17/2020,Andorra,Recovered,
3/18/2020,Andorra,Confirmed,39
3/18/2020,Andorra,Deaths,0
3/18/2020,Andorra,Critical,
3/18/2020,Andorra,Recovered,
3/19/2020,Andorra,Confirmed,53
3/19/2020,Andorra,Deaths,0
3/19/2020,Andorra,Critical,
3/19/2020,Andorra,Recovered,
3/20/2020,Andorra,Confirmed,74
3/20/2020,Andorra,Deaths,0
3/20/2020,Andorra,Critical,2
3/20/2020,Andorra,Recovered,0
3/21/2020,Andorra,Confirmed,87
3/21/2020,Andorra,Deaths,0
3/21/2020,Andorra,Critical,2
3/21/2020,Andorra,Recovered,N/A
3/22/2020,Andorra,Confirmed,87
3/22/2020,Andorra,Deaths,0
3/22/2020,Andorra,Critical,2
3/22/2020,Andorra,Recovered,N/A
3/18/2020,Antigua and Barbuda,Confirmed,1
3/18/2020,Antigua and Barbuda,Deaths,0
3/18/2020,Antigua and Barbuda,Critical,0
3/18/2020,Antigua and Barbuda,Recovered,0
3/19/2020,Antigua and Barbuda,Confirmed,1
3/19/2020,Antigua and Barbuda,Deaths,0
3/19/2020,Antigua and Barbuda,Critical,0
3/19/2020,Antigua and Barbuda,Recovered,0
3/20/2020,Antigua and Barbuda,Confirmed,1
3/20/2020,Antigua and Barbuda,Deaths,0
3/20/2020,Antigua and Barbuda,Critical,0
3/20/2020,Antigua and Barbuda,Recovered,0
3/21/2020,Antigua and Barbuda,Confirmed,1
3/21/2020,Antigua and Barbuda,Deaths,0
3/21/2020,Antigua and Barbuda,Critical,0
3/21/2020,Antigua and Barbuda,Recovered,0
3/22/2020,Antigua and Barbuda,Confirmed,1
3/22/2020,Antigua and Barbuda,Deaths,0
3/22/2020,Antigua and Barbuda,Critical,0
3/22/2020,Antigua and Barbuda,Recovered,0
3/17/2020,Argentina,Confirmed,65
3/17/2020,Argentina,Deaths,2
3/17/2020,Argentina,Critical,
3/17/2020,Argentina,Recovered,
3/18/2020,Argentina,Confirmed,79
3/18/2020,Argentina,Deaths,2
3/18/2020,Argentina,Critical,
3/18/2020,Argentina,Recovered,
3/19/2020,Argentina,Confirmed,97
3/19/2020,Argentina,Deaths,2
3/19/2020,Argentina,Critical,
3/19/2020,Argentina,Recovered,
3/20/2020,Argentina,Confirmed,128
3/20/2020,Argentina,Deaths,3
3/20/2020,Argentina,Critical,0
3/20/2020,Argentina,Recovered,0
