Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/19/2020,Diamond Princess (repatriated),46,0,0,,0,,0,0,0,,0,,2,0,0,0,44,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Diamond Princess (repatriated),46,0,0,,0,,0,0,0,,0,,2,0,0,0,44,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Diamond Princess (repatriated),46,0,0,,0,,0,0,0,,0,,2,0,0,0,44,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Diamond Princess (repatriated),46,0,0,,0,,0,0,0,,,,2,0,0,0,44,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,District of Columbia,31,31,0,1.0,31,1.0,0,0,0,1.0,0,1.0,,0,0,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,District of Columbia,31,0,31,,15.5,,0,0,0,,0,,,0,0,0,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,District of Columbia,39,8,0,2.7,4,5.4,0,0,0,,0,,,0,0,0,39,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,District of Columbia,77,38,8,0.7,23,1.2,1,1,0,,0.5,,,0,0,0,76,4,4,0,0,0,1,0,0,0,0,0,0,0,0,1
3/21/2020,District of Columbia,98,21,38,2.5,29.5,1.8,1,0,1,,0.5,1.4,,0,0,0,97,5,5,0,0,0,2,0,0,0,0,0,0,0,0,1
3/22/2020,District of Columbia,98,0,21,3.2,29.5,2.3,1,0,0,,,1.4,,0,0,0,97,6,6,0,0,0,3,0,0,0,0,0,0,0,0,1
3/17/20,Florida,216,216,0,1.0,216,1.0,7,7,0,1.0,7,1.0,,0,0,0,209,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
3/18/20,Florida,314,98,216,1.5,157,1.5,7,0,7,,3.5,,,0,0,0,307,2,2,2,1,0,2,2,0,0,0,0,0,0,0,1
3/19/2020,Florida,432,118,98,1.8,108,2.0,9,2,0,2.5,1,4.9,,0,0,0,423,3,3,3,2,0,3,3,0,0,0,0,0,0,0,1
3/20/2020,Florida,563,131,118,2.3,124.5,2.4,11,2,2,3.1,2,3.1,,0,0,0,552,4,4,4,3,0,4,4,0,0,0,0,0,0,0,1
3/21/2020,Florida,763,200,131,1.9,165.5,2.3,12,1,2,7.7,1.5,5.1,,0,0,0,751,5,5,5,4,0,5,5,0,0,0,0,0,0,0,1
3/22/2020,Florida,830,67,200,7.8,133.5,3.9,13,1,1,8.4,1,8.4,,0,0,0,817,6,6,6,5,0,6,6,0,0,0,0,0,0,0,1
3/17/20,Georgia,146,146,0,1.0,146,1.0,1,1,0,1.0,1,1.0,,0,0,0,145,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Georgia,197,51,146,2.0,98.5,2.0,3,2,1,0.3,1.5,0.3,,0,0,0,194,2,2,2,0,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Georgia,197,0,51,,25.5,5.3,4,1,2,2.1,1.5,1.4,,0,0,0,193,3,3,3,0,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Georgia,485,288,0,0.5,144,0.9,14,10,1,0.3,5.5,0.5,,0,0,0,471,4,4,4,1,0,4,1,0,0,0,0,0,0,0,1
3/21/2020,Georgia,555,70,288,4.7,179,1.8,20,6,10,1.6,8,1.2,,0,0,0,535,5,5,5,2,0,5,2,0,0,0,0,0,0,0,1
3/22/2020,Georgia,600,45,70,8.3,57.5,6.5,23,3,6,4.7,4.5,3.1,,0,0,0,577,6,6,6,3,0,6,3,0,0,0,0,0,0,0,1
3/17/20,Grand Princess,21,21,0,1.0,21,1.0,0,0,0,1.0,0,1.0,,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Grand Princess,21,0,21,,10.5,,0,0,0,,0,,,0,0,0,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Grand Princess,21,0,0,,0,,0,0,0,,0,,,0,0,0,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Grand Princess,21,0,0,,0,,0,0,0,,0,,,0,0,0,21,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Grand Princess,21,0,0,,0,,0,0,0,,0,,,0,0,0,21,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Grand Princess,21,0,0,,0,,0,0,0,,,,,0,0,0,21,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Guam,5,5,0,1.0,5,1.0,0,0,0,1.0,0,1.0,,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Guam,8,3,5,1.2,4,1.2,0,0,0,,0,,,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Guam,12,4,3,1.4,3.5,1.6,0,0,0,,0,,,0,0,0,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Guam,14,2,4,4.2,3,2.8,0,0,0,,0,,,0,0,0,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Guam,15,1,2,9.8,1.5,6.5,1,1,0,,0.5,,,0,0,0,14,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1
3/22/2020,Guam,27,12,1,0.8,6.5,1.5,1,0,1,0.7,,1.4,,0,0,0,26,6,6,0,0,0,2,0,0,0,0,0,0,0,0,1
3/17/20,Hawaii,14,14,0,1.0,14,1.0,0,0,0,1.0,0,1.0,,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
