Date,Country,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/17/20,Australia,596,596,0,1.0,596,1.0,6,6,0,1.0,6,1.0,27,1,1,1,563,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0
3/18/20,Australia,756,160,596,2.5,378,2.5,7,1,6,4.2,3.5,4.2,43,1,1,1,706,2,2,2,2,0,2,2,0,0,0,2,0,0,0,1
3/18/20,Australia,756,0,160,,80,6.2,7,0,1,,0.5,9.8,43,1,1,1,706,3,3,3,3,0,3,3,0,0,0,3,0,0,0,1
3/19/2020,Australia,928,172,0,2.9,86,5.7,7,0,0,,0,,46,1,1,1,875,4,4,4,4,0,4,4,0,0,0,4,0,0,0,1
3/20/2020,Australia,1072,144,172,4.3,158,3.9,7,0,0,,0,,46,2,2,1.5,1019,5,5,5,5,1,5,5,0,0,0,5,0,0,0,1
3/21/2020,Australia,1609,537,144,1.3,340.5,2.1,7,0,0,,0,,46,2,2,2,1556,6,6,6,6,2,6,6,0,0,0,6,0,0,0,1
3/22/2020,Australia,1609,0,537,,268.5,4.1,7,0,0,,0,,88,11,11,6.5,1514,7,7,7,7,3,7,7,0,0,0,7,1,0,0,1
3/23/2020,Australia,1717,108,0,9.8,54,19.6,7,0,0,,,,88,11,11,11,1622,8,8,8,8,4,8,8,0,0,0,8,2,0,0,1
3/17/20,Austria,1646,1646,0,1.0,1646,1.0,4,4,0,1.0,4,1.0,9,12,12,12,1633,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0
3/18/20,Austria,2179,533,1646,2.1,1089.5,2.1,6,2,4,1.4,3,1.4,9,12,12,12,2164,2,2,2,2,2,2,1,0,0,0,2,2,0,0,1
3/18/20,Austria,2179,0,533,,266.5,5.7,6,0,2,,1,4.2,9,12,12,12,2164,3,3,3,3,3,3,2,0,0,0,3,3,0,0,1
3/19/2020,Austria,2649,470,0,3.2,235,6.4,6,0,0,,0,,9,13,13,12.5,2634,4,4,4,4,4,4,3,0,0,0,4,4,0,0,1
3/20/2020,Austria,2992,343,470,5.4,406.5,4.5,8,2,0,2.1,1,4.2,9,14,14,13.5,2975,5,5,5,5,5,5,4,0,0,0,5,5,0,0,1
3/21/2020,Austria,3582,590,343,3.5,466.5,4.5,16,8,2,0.7,5,1.1,9,15,15,14.5,3557,6,6,6,6,6,6,5,0,0,0,6,6,0,0,1
3/22/2020,Austria,3582,0,590,,295,8.4,16,0,8,,4,2.8,9,15,15,15,3557,7,7,7,7,7,7,6,0,0,0,7,7,0,0,1
3/23/2020,Austria,3977,395,0,6.3,197.5,12.6,21,5,0,2.2,2.5,4.5,9,14,14,14.5,3947,8,8,8,8,8,8,7,0,0,0,8,8,0,0,1
3/17/20,Azerbaijan,34,34,0,1.0,34,1.0,1,1,0,1.0,1,1.0,6,0,0,0,27,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Azerbaijan,44,10,34,1.9,22,1.9,1,0,1,,0.5,,7,0,0,0,36,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1
3/18/20,Azerbaijan,44,0,10,,5,5.0,1,0,0,,0,,7,0,0,0,36,3,3,0,0,0,3,0,0,0,0,0,0,0,0,1
3/19/2020,Azerbaijan,44,0,0,,0,,1,0,0,,0,,7,0,0,0,36,4,4,0,0,0,4,0,0,0,0,0,0,0,0,1
3/20/2020,Azerbaijan,53,9,0,2.8,4.5,5.6,1,0,0,,0,,7,0,0,0,45,5,5,0,0,0,5,0,0,0,0,0,0,0,0,1
3/21/2020,Azerbaijan,65,12,9,2.6,10.5,3.0,1,0,0,,0,,11,0,0,0,53,6,6,0,0,0,6,0,0,0,0,0,0,0,0,1
3/22/2020,Azerbaijan,65,0,12,,6,6.2,1,0,0,,0,,11,0,0,0,53,7,7,0,0,0,7,0,0,0,0,0,0,0,0,1
3/23/2020,Azerbaijan,72,7,0,5.3,3.5,10.6,1,0,0,,,,10,3,3,1.5,61,8,8,0,0,0,8,0,0,0,0,1,0,0,0,1
3/17/20,Bahamas,1,1,0,1.0,1,1.0,0,0,0,1.0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Bahamas,3,2,1,0.3,1.5,0.3,0,0,0,,0,,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/18/20,Bahamas,3,0,2,,1,2.1,0,0,0,,0,,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Bahamas,4,1,0,2.1,0.5,4.2,0,0,0,,0,,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Bahamas,4,0,1,,0.5,5.6,0,0,0,,0,,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Bahamas,4,0,0,,0,,0,0,0,,0,,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Bahamas,4,0,0,,0,,0,0,0,,0,,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/23/2020,Bahamas,4,0,0,,0,,0,0,0,,,,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Bahrain,256,256,0,1.0,256,1.0,1,1,0,1.0,1,1.0,88,3,3,3,167,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
3/18/20,Bahrain,278,22,256,5.3,139,5.3,1,0,1,,0.5,,95,3,3,3,182,2,2,2,2,0,2,0,0,0,0,2,0,0,0,1
3/18/20,Bahrain,278,0,22,,11,11.6,1,0,0,,0,,95,3,3,3,182,3,3,3,3,0,3,0,0,0,0,3,0,0,0,1
3/19/2020,Bahrain,298,20,0,6.4,10,12.7,1,0,0,,0,,110,4,4,3.5,187,4,4,4,4,0,4,0,0,0,0,4,0,0,0,1
3/20/2020,Bahrain,310,12,20,10.9,16,8.2,1,0,0,,0,,125,4,4,4,184,5,5,5,5,0,5,0,0,0,0,5,0,0,0,1
3/21/2020,Bahrain,334,24,12,5.4,18,7.2,2,1,0,0.7,0.5,1.4,125,4,4,4,207,6,6,6,6,0,6,0,0,0,0,6,0,0,0,1
3/22/2020,Bahrain,334,0,24,,12,12.1,2,0,1,,0.5,2.8,149,3,3,3.5,183,7,7,7,7,0,7,0,0,0,0,7,0,0,0,1
3/23/2020,Bahrain,339,5,0,25.6,2.5,51.2,2,0,0,,,2.8,160,3,3,3,177,8,8,8,8,0,8,0,0,0,0,8,0,0,0,1
3/17/20,Bangladesh,14,14,0,1.0,14,1.0,1,1,0,1.0,1,1.0,3,0,0,0,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Bangladesh,18,4,14,1.8,9,1.8,1,0,1,,0.5,,3,0,0,0,14,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1
3/18/20,Bangladesh,18,0,4,,2,4.9,1,0,0,,0,,3,0,0,0,14,3,3,0,0,0,3,0,0,0,0,0,0,0,0,1
3/19/2020,Bangladesh,20,2,0,4.9,1,9.8,1,0,0,,0,,3,0,0,0,16,4,4,0,0,0,4,0,0,0,0,0,0,0,0,1
3/20/2020,Bangladesh,24,4,2,2.8,3,3.7,2,1,0,0.7,0.5,1.4,3,1,1,0.5,19,5,5,0,0,0,5,0,0,0,0,1,0,0,0,1
3/21/2020,Bangladesh,27,3,4,4.4,3.5,3.8,2,0,1,,0.5,2.8,3,0,0,0.5,22,6,6,0,0,0,6,0,0,0,0,2,0,0,0,1
3/22/2020,Bangladesh,27,0,3,,1.5,10.3,2,0,0,,0,,3,0,0,0,22,7,7,0,0,0,7,0,0,0,0,3,0,0,0,1
3/23/2020,Bangladesh,33,6,0,2.6,3,5.1,3,1,0,1.4,0.5,2.8,5,0,0,0,25,8,8,0,0,0,8,0,0,0,0,4,0,0,0,1
3/17/20,Barbados,2,2,0,1.0,2,1.0,0,0,0,1.0,0,1.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Barbados,5,3,2,0.5,2.5,0.5,0,0,0,,0,,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3/18/20,Barbados,5,0,3,,1.5,2.3,0,0,0,,0,,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Barbados,6,1,0,3.5,0.5,7.0,0,0,0,,0,,0,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Barbados,14,8,1,0.5,4.5,0.9,0,0,0,,0,,0,0,0,0,14,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Barbados,14,0,8,,4,2.5,0,0,0,,0,,0,0,0,0,14,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Barbados,14,0,0,,0,,0,0,0,,0,,0,0,0,0,14,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/23/2020,Barbados,17,3,0,3.3,1.5,6.5,0,0,0,,,,0,0,0,0,17,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Belarus,51,51,0,1.0,51,1.0,0,0,0,1.0,0,1.0,3,0,0,0,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Belarus,51,0,51,,25.5,,0,0,0,,0,,5,0,0,0,46,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/18/20,Belarus,51,0,0,,0,,0,0,0,,0,,5,0,0,0,46,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Belarus,69,18,0,1.8,9,3.6,0,0,0,,0,,5,0,0,0,64,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Belarus,76,7,18,6.4,12.5,3.6,0,0,0,,0,,15,0,0,0,61,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Belarus,76,0,7,,3.5,12.2,0,0,0,,0,,15,0,0,0,61,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
