Date,Country,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000
3/19/2020,Jordan,69,13,8,3.0,10.5,3.7,0,0,0,,0,,1,68,3,3,0,0,0,0,0,0,0,0
3/20/2020,Jordan,85,16,13,3.0,14.5,3.3,0,0,0,,0,,1,84,4,4,0,0,0,0,0,0,0,0
3/21/2020,Jordan,99,14,16,4.2,15,3.9,0,0,0,,0,,1,98,5,5,0,0,0,0,0,0,0,0
3/22/2020,Jordan,99,0,14,4.9,15,4.6,0,0,0,,,,1,98,6,6,0,0,0,0,0,0,0,0
3/17/20,Kazakhstan,33,33,0,1.0,33,1.0,0,0,0,1.0,0,1.0,0,33,1,1,0,0,0,0,0,0,0,0
3/18/20,Kazakhstan,36,3,33,7.7,18,7.7,0,0,0,,0,,,36,2,2,0,0,0,0,0,0,0,0
3/19/2020,Kazakhstan,44,8,3,3.1,5.5,4.6,0,0,0,,0,,0,44,3,3,0,0,0,0,0,0,0,0
3/20/2020,Kazakhstan,52,8,8,3.8,8,3.8,0,0,0,,0,,0,52,4,4,0,0,0,0,0,0,0,0
3/21/2020,Kazakhstan,54,2,8,18.2,5,7.3,0,0,0,,0,,0,54,5,5,0,0,0,0,0,0,0,0
3/22/2020,Kazakhstan,59,5,2,7.6,3.5,10.8,0,0,0,,,,0,59,6,6,0,0,0,0,0,0,0,0
3/17/20,Kenya,4,4,0,1.0,4,1.0,0,0,0,1.0,0,1.0,0,4,1,0,0,0,0,0,0,0,0,0
3/18/20,Kenya,7,3,4,0.9,3.5,0.9,0,0,0,,0,,,7,2,1,0,0,0,0,0,0,0,0
3/19/2020,Kenya,7,0,3,,1.5,3.3,0,0,0,,0,,0,7,3,2,0,0,0,0,0,0,0,0
3/20/2020,Kenya,7,0,0,,0,,0,0,0,,0,,0,7,4,3,0,0,0,0,0,0,0,0
3/21/2020,Kenya,7,0,0,,0,,0,0,0,,0,,0,7,5,4,0,0,0,0,0,0,0,0
3/22/2020,Kenya,7,0,0,,0,,0,0,0,,,,0,7,6,5,0,0,0,0,0,0,0,0
3/17/20,Kosovo,13,13,0,1.0,13,1.0,0,0,0,1.0,0,1.0,0,13,1,1,0,0,0,0,0,0,0,0
3/18/20,Kosovo,13,0,13,,6.5,,0,0,0,,0,,,13,2,2,0,0,0,0,0,0,0,0
3/19/2020,Kosovo,21,8,0,1.1,4,2.3,0,0,0,,0,,0,21,3,3,0,0,0,0,0,0,0,0
3/20/2020,Kosovo,21,0,8,,4,3.7,0,0,0,,0,,0,21,4,4,0,0,0,0,0,0,0,0
3/21/2020,Kosovo,21,0,0,,0,,0,0,0,,0,,0,21,5,5,0,0,0,0,0,0,0,0
3/22/2020,Kosovo,31,10,0,1.5,5,2.9,0,0,0,,,,0,31,6,6,0,0,0,0,0,0,0,0
3/17/20,Kuwait,130,130,0,1.0,130,1.0,0,0,0,1.0,0,1.0,12,118,1,1,1,0,0,0,0,0,0,0
3/18/20,Kuwait,142,12,130,6.9,71,6.9,0,0,0,,0,,,142,2,2,2,0,0,0,0,0,0,0
3/19/2020,Kuwait,148,6,12,16.6,9,11.0,0,0,0,,0,,18,130,3,3,3,0,0,0,0,0,0,0
3/20/2020,Kuwait,159,11,6,8.3,8.5,10.7,0,0,0,,0,,22,137,4,4,4,0,0,0,0,0,0,0
3/21/2020,Kuwait,176,17,11,5.6,14,6.8,0,0,0,,0,,27,149,5,5,5,0,0,0,0,0,0,0
3/22/2020,Kuwait,188,12,17,8.7,14.5,7.2,0,0,0,,,,30,158,6,6,6,0,0,0,0,0,0,0
3/18/20,Kyrgyzstan,3,3,0,1.0,3,1.0,0,0,0,1.0,0,1.0,,3,1,0,0,0,0,0,0,0,0,0
3/19/2020,Kyrgyzstan,3,0,3,,1.5,,0,0,0,,0,,0,3,2,0,0,0,0,0,0,0,0,0
3/20/2020,Kyrgyzstan,6,3,0,0.7,1.5,1.4,0,0,0,,0,,0,6,3,1,0,0,0,0,0,0,0,0
3/21/2020,Kyrgyzstan,14,8,3,0.5,5.5,0.8,0,0,0,,0,,0,14,4,2,0,0,0,0,0,0,0,0
3/22/2020,Kyrgyzstan,14,0,8,1.2,5.5,1.8,0,0,0,,,,0,14,5,3,0,0,0,0,0,0,0,0
3/17/20,Latvia,60,60,0,1.0,60,1.0,0,0,0,1.0,0,1.0,1,59,1,1,0,0,0,0,0,0,0,0
3/18/20,Latvia,71,11,60,3.8,35.5,3.8,0,0,0,,0,,,71,2,2,0,0,0,0,0,0,0,0
3/19/2020,Latvia,86,15,11,3.3,13,3.8,0,0,0,,0,,1,85,3,3,0,0,0,0,0,0,0,0
3/20/2020,Latvia,111,25,15,2.4,20,3.0,0,0,0,,0,,1,110,4,4,1,0,0,0,0,0,0,0
3/21/2020,Latvia,124,13,25,5.9,19,4.1,0,0,0,,0,,1,123,5,5,2,0,0,0,0,0,0,0
3/22/2020,Latvia,139,15,13,5.7,14,6.2,0,0,0,,,,1,138,6,6,3,0,0,0,0,0,0,0
3/17/20,Lebanon,125,125,0,1.0,125,1.0,4,4,0,1.0,4,1.0,4,117,1,1,1,0,0,1,0,0,0,0
3/18/20,Lebanon,133,8,125,10.2,66.5,10.2,4,0,4,,2,,,129,2,2,2,0,0,2,0,0,0,0
3/19/2020,Lebanon,157,24,8,3.8,16,5.6,4,0,0,,0,,4,149,3,3,3,0,0,3,0,0,0,0
3/20/2020,Lebanon,163,6,24,17.4,15,7.0,4,0,0,,0,,4,155,4,4,4,0,0,4,0,0,0,0
3/21/2020,Lebanon,230,67,6,1.6,36.5,3.0,4,0,0,,0,,8,218,5,5,5,0,0,5,0,0,0,0
3/22/2020,Lebanon,248,18,67,8.5,42.5,3.6,4,0,0,,,,8,236,6,6,6,0,0,6,0,0,0,0
3/17/20,Liberia,2,2,0,1.0,2,1.0,0,0,0,1.0,0,1.0,0,2,1,0,0,0,0,0,0,0,0,0
3/18/20,Liberia,2,0,2,,1,,0,0,0,,0,,,2,2,0,0,0,0,0,0,0,0,0
3/19/2020,Liberia,2,0,0,,0,,0,0,0,,0,,0,2,3,0,0,0,0,0,0,0,0,0
3/20/2020,Liberia,2,0,0,,0,,0,0,0,,0,,0,2,4,0,0,0,0,0,0,0,0,0
3/21/2020,Liberia,3,1,0,1.4,0.5,2.8,0,0,0,,0,,0,3,5,0,0,0,0,0,0,0,0,0
3/22/2020,Liberia,3,0,1,2.1,0.5,4.2,0,0,0,,,,0,3,6,0,0,0,0,0,0,0,0,0
3/17/20,Liechtenstein,7,7,0,1.0,7,1.0,0,0,0,1.0,0,1.0,0,7,1,1,0,0,0,0,0,0,0,0
3/18/20,Liechtenstein,28,21,7,0.2,14,0.2,0,0,0,,0,,,28,2,2,0,0,0,0,0,0,0,0
3/19/2020,Liechtenstein,28,0,21,,10.5,1.9,0,0,0,,0,,0,28,3,3,0,0,0,0,0,0,0,0
3/20/2020,Liechtenstein,28,0,0,,0,,0,0,0,,0,,0,28,4,4,0,0,0,0,0,0,0,0
3/21/2020,Liechtenstein,28,0,0,,0,,0,0,0,,0,,0,28,5,5,0,0,0,0,0,0,0,0
3/22/2020,Liechtenstein,44,16,0,1.2,8,2.5,0,0,0,,,,0,44,6,6,0,0,0,0,0,0,0,0
3/17/20,Lithuania,26,26,0,1.0,26,1.0,0,0,0,1.0,0,1.0,1,25,1,1,0,0,0,0,0,0,0,0
3/18/20,Lithuania,33,7,26,2.5,16.5,2.5,0,0,0,,0,,,33,2,2,0,0,0,0,0,0,0,0
3/19/2020,Lithuania,36,3,7,7.7,5,4.6,0,0,0,,0,,1,35,3,3,0,0,0,0,0,0,0,0
3/20/2020,Lithuania,49,13,3,1.9,8,3.1,0,0,0,,0,,1,48,4,4,0,0,0,0,0,0,0,0
3/21/2020,Lithuania,69,20,13,1.7,16.5,2.0,1,1,0,,0.5,,1,67,5,5,0,0,0,1,0,0,0,0
3/22/2020,Lithuania,105,36,20,1.3,28,1.7,1,0,1,0.7,,1.4,1,103,6,6,1,0,0,2,0,0,0,0
3/17/20,Luxembourg,140,140,0,1.0,140,1.0,1,1,0,1.0,1,1.0,0,139,1,1,1,0,0,1,0,0,0,0
3/18/20,Luxembourg,203,63,140,1.5,101.5,1.5,2,1,1,0.7,1,0.7,,201,2,2,2,0,0,2,0,0,0,0
3/19/2020,Luxembourg,335,132,63,1.1,97.5,1.4,4,2,1,0.7,1.5,0.9,0,331,3,3,3,1,0,3,0,0,0,0
3/20/2020,Luxembourg,484,149,132,1.6,140.5,1.6,5,1,2,2.8,1.5,1.9,6,473,4,4,4,2,0,4,1,0,0,0
3/21/2020,Luxembourg,670,186,149,1.8,167.5,2.0,8,3,1,1.2,2,1.8,6,656,5,5,5,3,0,5,2,0,0,0
3/22/2020,Luxembourg,798,128,186,3.6,157,2.9,8,0,3,1.9,1.2,2.8,6,784,6,6,6,4,0,6,3,0,0,0
3/17/20,Macau,13,13,0,1.0,13,1.0,0,0,0,1.0,0,1.0,10,3,1,1,0,0,0,0,0,0,0,0
3/18/20,Macau,17,4,13,0.5,8.5,0.5,0,0,0,,0,,,17,2,2,0,0,0,0,0,0,0,0
