Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000
3/22/2020,2020-03-22,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,293(=),293(=),0,1.0,293(=),1.0,"28,521(+20%)",0,36,0,0,0,0,1,0,1,1,1
3/22/2020,⋮,​ ​ ​ ​ ​,​ ​ ​ ​ ​,0,1.0,​ ​ ​ ​ ​,1.0,,,0,1.0,,1.0,1(=),0,37,0,0,0,0,2,0,0,0,0
3/22/2020,⋮,​ ​ ​ ​ ​,0,​ ​ ​ ​ ​,,​ ​ ​ ​ ​,,,0,,,1,,5(=),0,38,0,0,0,0,3,0,0,0,0
3/22/2020,⋮,​ ​ ​ ​ ​,0,0,,​ ​ ​ ​ ​,,,0,0,,,,11(=),0,39,0,0,0,0,4,0,0,0,0
3/22/2020,⋮,​ ​ ​ ​ ​,0,0,,​ ​ ​ ​ ​,,,0,0,,,,12(=),0,40,0,0,0,0,5,0,0,0,0
3/22/2020,⋮,​ ​ ​ ​ ​,0,0,,​ ​ ​ ​ ​,,,0,0,,,,14(=),0,41,0,0,0,0,6,0,0,0,0
3/17/2020,Alabama,39,39,0,1.0,39,1.0,0,0,0,1.0,0,1.0,0,39,1,1,0,0,0,0,0,0,0,0
3/18/2020,Alabama,51,12,39,2.3,25.5,2.3,0,0,0,,0,,0,51,2,2,0,0,0,0,0,0,0,0
3/19/2020,Alabama,78,27,12,1.3,19.5,1.8,0,0,0,,0,,0,78,3,3,0,0,0,0,0,0,0,0
3/20/2020,Alabama,106,28,27,2.0,27.5,2.0,0,0,0,,0,,0,106,4,4,1,0,0,0,0,0,0,0
3/21/2020,Alabama,124,18,28,4.1,23,3.2,0,0,0,,0,,0,124,5,5,2,0,0,0,0,0,0,0
3/17/2020,Alaska,3,3,0,1.0,3,1.0,0,0,0,1.0,0,1.0,0,3,1,0,0,0,0,0,0,0,0,0
3/18/2020,Alaska,6,3,3,0.7,3,0.7,0,0,0,,0,,0,6,2,1,0,0,0,0,0,0,0,0
3/19/2020,Alaska,9,3,3,1.4,3,1.4,0,0,0,,0,,0,9,3,2,0,0,0,0,0,0,0,0
3/20/2020,Alaska,12,3,3,2.1,3,2.1,0,0,0,,0,,0,12,4,3,0,0,0,0,0,0,0,0
3/21/2020,Alaska,12,0,3,,1.5,5.6,0,0,0,,0,,0,12,5,4,0,0,0,0,0,0,0,0
3/17/2020,American Samoa,0,0,0,1.0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2020,American Samoa,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/19/2020,American Samoa,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2020,American Samoa,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2020,American Samoa,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020,Arizona,13,13,0,1.0,13,1.0,0,0,0,1.0,0,1.0,1,12,1,1,0,0,0,0,0,0,0,0
3/18/2020,Arizona,27,14,13,0.6,13.5,0.6,0,0,0,,0,,1,26,2,2,0,0,0,0,0,0,0,0
3/19/2020,Arizona,45,18,14,1.0,16,1.1,0,0,0,,0,,1,44,3,3,0,0,0,0,0,0,0,0
3/20/2020,Arizona,79,34,18,0.9,26,1.2,0,0,0,,0,,1,78,4,4,0,0,0,0,0,0,0,0
3/21/2020,Arizona,79,0,34,,17,3.2,0,0,0,,0,,1,78,5,5,0,0,0,0,0,0,0,0
3/17/2020,Arkansas,22,22,0,1.0,22,1.0,0,0,0,1.0,0,1.0,0,22,1,1,0,0,0,0,0,0,0,0
3/18/2020,Arkansas,30,8,22,1.9,15,1.9,0,0,0,,0,,0,30,2,2,0,0,0,0,0,0,0,0
3/19/2020,Arkansas,62,32,8,0.7,20,1.1,0,0,0,,0,,0,62,3,3,0,0,0,0,0,0,0,0
3/20/2020,Arkansas,96,34,32,1.3,33,1.3,0,0,0,,0,,0,96,4,4,0,0,0,0,0,0,0,0
3/21/2020,Arkansas,96,0,34,,17,4.0,0,0,0,,0,,0,96,5,5,0,0,0,0,0,0,0,0
3/17/2020,California,454,454,0,1.0,454,1.0,12,12,0,1.0,12,1.0,6,436,1,1,1,1,0,1,1,0,0,0
3/18/2020,California,785,331,454,0.9,392.5,0.9,16,4,12,2.1,8,2.1,6,763,2,2,2,2,0,2,2,0,0,0
3/19/2020,California,971,186,331,2.9,258.5,2.1,19,3,4,3.7,3.5,3.2,6,946,3,3,3,3,0,3,3,0,0,0
3/20/2020,California,"1,249",278,186,2.4,232,2.9,24,5,3,2.7,4,3.3,6,1219,4,4,4,4,1,4,4,0,0,0
3/21/2020,California,"1,224",-25,278,-34.1,126.5,6.7,23,-1,5,-16.8,2,8.4,,1201,5,5,5,5,2,5,5,0,0,0
3/17/2020,Colorado,160,160,0,1.0,160,1.0,1,1,0,1.0,1,1.0,0,159,1,1,1,0,0,1,0,0,0,0
3/18/2020,Colorado,216,56,160,2.0,108,2.0,2,1,1,0.7,1,0.7,0,214,2,2,2,0,0,2,0,0,0,0
3/19/2020,Colorado,277,61,56,2.5,58.5,2.6,4,2,1,0.7,1.5,0.9,0,273,3,3,3,1,0,3,0,0,0,0
3/20/2020,Colorado,363,86,61,2.2,73.5,2.6,4,0,2,,1,2.8,0,359,4,4,4,2,0,4,0,0,0,0
3/21/2020,Colorado,475,112,86,2.2,99,2.5,5,1,0,2.8,0.5,5.6,,470,5,5,5,3,0,5,1,0,0,0
3/17/2020,Connecticut,68,68,0,1.0,68,1.0,0,0,0,1.0,0,1.0,0,68,1,1,0,0,0,0,0,0,0,0
3/18/2020,Connecticut,97,29,68,1.6,48.5,1.6,1,1,0,,0.5,,0,96,2,2,0,0,0,1,0,0,0,0
3/19/2020,Connecticut,159,62,29,1.1,45.5,1.5,3,2,1,0.3,1.5,0.5,0,156,3,3,1,0,0,2,0,0,0,0
3/20/2020,Connecticut,194,35,62,3.1,48.5,2.3,4,1,2,2.1,1.5,1.4,0,190,4,4,2,0,0,3,0,0,0,0
3/21/2020,Connecticut,194,0,35,,17.5,7.6,4,0,1,,0.5,5.6,,190,5,5,3,0,0,4,0,0,0,0
3/17/2020,Delaware,8,8,0,1.0,8,1.0,0,0,0,1.0,0,1.0,0,8,1,1,0,0,0,0,0,0,0,0
3/18/2020,Delaware,26,18,8,0.3,13,0.3,0,0,0,,0,,0,26,2,2,0,0,0,0,0,0,0,0
3/19/2020,Delaware,30,4,18,4.5,11,1.7,0,0,0,,0,,0,30,3,3,0,0,0,0,0,0,0,0
3/20/2020,Delaware,39,9,4,2.3,6.5,3.2,0,0,0,,0,,0,39,4,4,0,0,0,0,0,0,0,0
3/21/2020,Delaware,39,0,9,,4.5,6.1,0,0,0,,0,,0,39,5,5,0,0,0,0,0,0,0,0
3/17/2020,District of Columbia,22,22,0,1.0,22,1.0,0,0,0,1.0,0,1.0,0,22,1,1,0,0,0,0,0,0,0,0
3/18/2020,District of Columbia,31,9,22,1.7,15.5,1.7,0,0,0,,0,,0,31,2,2,0,0,0,0,0,0,0,0
3/19/2020,District of Columbia,71,40,9,0.5,24.5,0.9,3,3,0,,1.5,,0,68,3,3,0,0,0,1,0,0,0,0
3/20/2020,District of Columbia,81,10,40,4.8,25,1.9,1,-2,3,-1.0,0.5,4.2,0,80,4,4,0,0,0,2,0,0,0,0
3/21/2020,District of Columbia,98,17,10,3.3,13.5,4.1,1,0,-2,,-1,-0.7,0,97,5,5,0,0,0,3,0,0,0,0
3/17/2020,Florida,173,173,0,1.0,173,1.0,6,6,0,1.0,6,1.0,0,167,1,1,1,0,0,1,1,0,0,0
3/18/2020,Florida,317,144,173,0.8,158.5,0.8,7,1,6,4.2,3.5,4.2,0,310,2,2,2,1,0,2,2,0,0,0
3/19/2020,Florida,432,115,144,1.9,129.5,1.7,9,2,1,2.5,1.5,3.3,0,423,3,3,3,2,0,3,3,0,0,0
3/20/2020,Florida,563,131,115,2.3,123,2.4,11,2,2,3.1,2,3.1,0,552,4,4,4,3,0,4,4,0,0,0
3/21/2020,Florida,757,194,131,2.0,162.5,2.4,11,0,2,,1,7.7,,746,5,5,5,4,0,5,5,0,0,0
3/17/2020,Georgia,146,146,0,1.0,146,1.0,1,1,0,1.0,1,1.0,0,145,1,1,1,0,0,1,0,0,0,0
3/18/2020,Georgia,199,53,146,1.9,99.5,1.9,1,0,1,,0.5,,0,198,2,2,2,0,0,2,0,0,0,0
3/19/2020,Georgia,287,88,53,1.6,70.5,2.0,10,9,0,0.1,4.5,0.2,0,277,3,3,3,1,0,3,1,0,0,0
3/20/2020,Georgia,485,198,88,1.0,143,1.4,14,4,9,1.8,6.5,1.1,0,471,4,4,4,2,0,4,2,0,0,0
3/21/2020,Georgia,555,70,198,4.7,134,2.5,20,6,4,1.6,5,2.0,,535,5,5,5,3,0,5,3,0,0,0
3/17/2020,Guam,3,3,0,1.0,3,1.0,0,0,0,1.0,0,1.0,0,3,1,0,0,0,0,0,0,0,0,0
3/18/2020,Guam,3,0,3,,1.5,,0,0,0,,0,,0,3,2,0,0,0,0,0,0,0,0,0
3/19/2020,Guam,12,9,0,0.2,4.5,0.5,0,0,0,,0,,0,12,3,1,0,0,0,0,0,0,0,0
3/20/2020,Guam,12,0,9,,4.5,1.9,0,0,0,,0,,0,12,4,2,0,0,0,0,0,0,0,0
3/21/2020,Guam,12,0,0,,0,,0,0,0,,0,,0,12,5,3,0,0,0,0,0,0,0,0
3/17/2020,Hawaii,4,4,0,1.0,4,1.0,0,0,0,1.0,0,1.0,0,4,1,0,0,0,0,0,0,0,0,0
3/18/2020,Hawaii,14,10,4,0.3,7,0.3,0,0,0,,0,,0,14,2,1,0,0,0,0,0,0,0,0
3/19/2020,Hawaii,22,8,10,1.2,9,1.1,0,0,0,,0,,0,22,3,2,0,0,0,0,0,0,0,0
3/20/2020,Hawaii,37,15,8,1.0,11.5,1.3,0,0,0,,0,,0,37,4,3,0,0,0,0,0,0,0,0
3/21/2020,Hawaii,37,0,15,,7.5,3.5,0,0,0,,0,,0,37,5,4,0,0,0,0,0,0,0,0
3/17/2020,Idaho,5,5,0,1.0,5,1.0,0,0,0,1.0,0,1.0,0,5,1,1,0,0,0,0,0,0,0,0
3/18/2020,Idaho,9,4,5,0.9,4.5,0.9,0,0,0,,0,,0,9,2,2,0,0,0,0,0,0,0,0
3/19/2020,Idaho,23,14,4,0.4,9,0.7,0,0,0,,0,,0,23,3,3,0,0,0,0,0,0,0,0
3/20/2020,Idaho,36,13,14,1.2,13.5,1.2,0,0,0,,0,,0,36,4,4,0,0,0,0,0,0,0,0
3/21/2020,Idaho,36,0,13,,6.5,3.9,0,0,0,,0,,0,36,5,5,0,0,0,0,0,0,0,0
3/17/2020,Illinois,166,166,0,1.0,166,1.0,1,1,0,1.0,1,1.0,2,163,1,1,1,0,0,1,0,0,0,0
3/18/2020,Illinois,288,122,166,0.9,144,0.9,1,0,1,,0.5,,2,285,2,2,2,1,0,2,0,0,0,0
3/19/2020,Illinois,422,134,122,1.5,128,1.6,4,3,0,0.2,1.5,0.5,2,416,3,3,3,2,0,3,0,0,0,0
3/20/2020,Illinois,585,163,134,1.8,148.5,2.0,5,1,3,2.8,2,1.4,2,578,4,4,4,3,0,4,1,0,0,0
3/21/2020,Illinois,753,168,163,2.4,165.5,2.4,6,1,1,3.5,1,3.5,,747,5,5,5,4,0,5,2,0,0,0
3/17/2020,Indiana,30,30,0,1.0,30,1.0,2,2,0,1.0,2,1.0,0,28,1,1,0,0,0,1,0,0,0,0
3/18/2020,Indiana,39,9,30,2.2,19.5,2.2,2,0,2,,1,,0,37,2,2,0,0,0,2,0,0,0,0
3/19/2020,Indiana,60,21,9,1.2,15,1.7,2,0,0,,0,,0,58,3,3,0,0,0,3,0,0,0,0
3/20/2020,Indiana,86,26,21,1.6,23.5,1.7,3,1,0,1.4,0.5,2.8,0,83,4,4,0,0,0,4,0,0,0,0
3/21/2020,Indiana,126,40,26,1.5,33,1.8,3,0,1,,0.5,4.2,0,123,5,5,1,0,0,5,0,0,0,0
3/17/2020,Iowa,17,17,0,1.0,17,1.0,0,0,0,1.0,0,1.0,0,17,1,1,0,0,0,0,0,0,0,0
3/18/2020,Iowa,38,21,17,0.6,19,0.6,0,0,0,,0,,0,38,2,2,0,0,0,0,0,0,0,0
3/19/2020,Iowa,44,6,21,4.4,13.5,2.0,0,0,0,,0,,0,44,3,3,0,0,0,0,0,0,0,0
3/20/2020,Iowa,45,1,6,30.8,3.5,8.8,0,0,0,,0,,0,45,4,4,0,0,0,0,0,0,0,0
3/21/2020,Iowa,45,0,1,,0.5,63.0,0,0,0,,0,,0,45,5,5,0,0,0,0,0,0,0,0
3/17/2020,Kansas,16,16,0,1.0,16,1.0,1,1,0,1.0,1,1.0,0,15,1,1,0,0,0,1,0,0,0,0
3/18/2020,Kansas,18,2,16,5.3,9,5.3,1,0,1,,0.5,,0,17,2,2,0,0,0,2,0,0,0,0
3/19/2020,Kansas,36,18,2,0.7,10,1.2,1,0,0,,0,,0,35,3,3,0,0,0,3,0,0,0,0
3/20/2020,Kansas,50,14,18,1.8,16,1.5,1,0,0,,0,,0,49,4,4,0,0,0,4,0,0,0,0
3/21/2020,Kansas,50,0,14,,7,4.9,1,0,0,,0,,0,49,5,5,0,0,0,5,0,0,0,0
3/17/2020,Kentucky,25,25,0,1.0,25,1.0,1,1,0,1.0,1,1.0,1,23,1,1,0,0,0,1,0,0,0,0
3/18/2020,Kentucky,27,2,25,8.1,13.5,8.1,1,0,1,,0.5,,0,26,2,2,0,0,0,2,0,0,0,0
3/19/2020,Kentucky,50,23,2,0.8,12.5,1.5,2,1,0,0.7,0.5,1.4,2,46,3,3,0,0,0,3,0,0,0,0
3/20/2020,Kentucky,64,14,23,2.3,18.5,1.7,2,0,1,,0.5,2.8,2,60,4,4,0,0,0,4,0,0,0,0
3/21/2020,Kentucky,64,0,14,,7,6.0,2,0,0,,0,,2,60,5,5,0,0,0,5,0,0,0,0
3/17/2020,Louisiana,171,171,0,1.0,171,1.0,4,4,0,1.0,4,1.0,0,167,1,1,1,0,0,1,0,0,0,0
3/18/2020,Louisiana,280,109,171,1.1,140,1.1,7,3,4,0.9,3.5,0.9,0,273,2,2,2,1,0,2,1,0,0,0
3/19/2020,Louisiana,392,112,109,1.7,110.5,1.7,10,3,3,1.6,3,1.6,0,382,3,3,3,2,0,3,2,0,0,0
3/20/2020,Louisiana,537,145,112,1.8,128.5,2.1,14,4,3,1.8,3.5,2.0,0,523,4,4,4,3,0,4,3,0,0,0
3/21/2020,Louisiana,585,48,145,7.6,96.5,3.8,16,2,4,4.9,3,3.3,,569,5,5,5,4,0,5,4,0,0,0
3/17/2020,Maine,3,3,0,1.0,3,1.0,0,0,0,1.0,0,1.0,0,3,1,0,0,0,0,0,0,0,0,0
3/18/2020,Maine,43,40,3,0.1,21.5,0.1,0,0,0,,0,,0,43,2,1,0,0,0,0,0,0,0,0
3/19/2020,Maine,52,9,40,3.3,24.5,1.2,0,0,0,,0,,0,52,3,2,0,0,0,0,0,0,0,0
3/20/2020,Maine,56,4,9,9.1,6.5,5.6,0,0,0,,0,,0,56,4,3,0,0,0,0,0,0,0,0
3/21/2020,Maine,56,0,4,,2,19.6,0,0,0,,0,,0,56,5,4,0,0,0,0,0,0,0,0
3/17/2020,Maryland,57,57,0,1.0,57,1.0,0,0,0,1.0,0,1.0,3,54,1,1,0,0,0,0,0,0,0,0
3/18/2020,Maryland,85,28,57,1.4,42.5,1.4,0,0,0,,0,,4,81,2,2,0,0,0,0,0,0,0,0
3/19/2020,Maryland,107,22,28,2.6,25,2.3,1,1,0,,0.5,,4,102,3,3,1,0,0,1,0,0,0,0
3/20/2020,Maryland,149,42,22,1.7,32,2.2,2,1,1,0.7,1,0.7,4,143,4,4,2,0,0,2,0,0,0,0
3/21/2020,Maryland,190,41,42,2.4,41.5,2.4,2,0,1,,0.5,2.8,4,184,5,5,3,0,0,3,0,0,0,0
3/17/2020,Massachusetts,197,197,0,1.0,197,1.0,0,0,0,1.0,0,1.0,1,196,1,1,1,0,0,0,0,0,0,0
3/18/2020,Massachusetts,218,21,197,6.5,109,6.5,0,0,0,,0,,1,217,2,2,2,0,0,0,0,0,0,0
3/19/2020,Massachusetts,328,110,21,1.4,65.5,2.3,0,0,0,,0,,1,327,3,3,3,1,0,0,0,0,0,0
3/20/2020,Massachusetts,413,85,110,2.7,97.5,2.3,1,1,0,,0.5,,1,411,4,4,4,2,0,1,0,0,0,0
